actor,database frequency,idf
Alden Ehrenreich,2,7.7536
Albert Finney,2,7.7536
Albert Brooks,2,7.7536
Alanna Ubach,2,7.7536
Aimee Garcia,2,7.7536
Abhishek Bachchan,2,7.7536
Óscar Jaenada,1,8.4468
Álex Angulo,1,8.4468
Zuhair Haddad,1,8.4468
Zak Penn,1,8.4468
Zachary Knighton,1,8.4468
Yuri Lowenthal,1,8.4468
Yuliya Snigir,1,8.4468
Yul Vazquez,1,8.4468
Yuki Matsuzaki,1,8.4468
Yu-mi Jeong,1,8.4468
Yorick van Wageningen,1,8.4468
Yolande Moreau,1,8.4468
Ye Liu,1,8.4468
Yaya DaCosta,1,8.4468
Yasmine Al Massri,1,8.4468
Yangzom Brauen,1,8.4468
Ximena Ayala,1,8.4468
Xander Berkeley,1,8.4468
Woody Strode,1,8.4468
Wood Harris,1,8.4468
Woo-sung Jung,1,8.4468
William Schallert,1,8.4468
William Morgan Sheppard,1,8.4468
William Kircher,1,8.4468
William Katt,1,8.4468
William Joseph Elk III,1,8.4468
William Hootkins,1,8.4468
William Gates,1,8.4468
William Baldwin,1,8.4468
Will Rothhaar,1,8.4468
Will Patton,1,8.4468
Wesley Jonathan,1,8.4468
Wes Studi,1,8.4468
Wendi McLendon-Covey,1,8.4468
Wei Zhao,1,8.4468
Wayne Knight,1,8.4468
Warren Christie,1,8.4468
Warren Beatty,1,8.4468
Wanda Sykes,1,8.4468
Walter Koenig,1,8.4468
Walter Hendrix III,1,8.4468
W. Earl Brown,1,8.4468
Virginia Leith,1,8.4468
Violante Placido,1,8.4468
Vinessa Shaw,1,8.4468
Vincent Schiavelli,1,8.4468
Vincent Gallo,1,8.4468
Vincent Chimato,1,8.4468
Victoria Jackson,1,8.4468
Victor Rasuk,1,8.4468
Vic Mignogna,1,8.4468
Veronica Taylor,1,8.4468
Veronica Ferres,1,8.4468
Vernon Wells,1,8.4468
Vernon Dobtcheff,1,8.4468
Verne Troyer,1,8.4468
Vanna Bonta,1,8.4468
Vanessa Lengies,1,8.4468
Vanessa Ferlito,1,8.4468
Usher Raymond,1,8.4468
Ursula Andress,1,8.4468
Ulrich Tukur,1,8.4468
Ulrich Thomsen,1,8.4468
Udo Kier,1,8.4468
Tzi Ma,1,8.4468
Tyrone Power,1,8.4468
Tyler Mane,1,8.4468
Tyler Labine,1,8.4468
Ty Parker,1,8.4468
Tuesday Knight,1,8.4468
Tshewang Dendup,1,8.4468
Trey Parker,1,8.4468
Trey Loney,1,8.4468
Trevor Morgan,1,8.4468
Trenton Rostedt,1,8.4468
Treat Williams,1,8.4468
Tori Spelling,1,8.4468
Topol,1,8.4468
Tony Nappo,1,8.4468
