ID;Title;Year;IMDb;Duration;Director;Actor;Genre;Keywords
2981;Show Boat;1951;7.0;108;George Sidney;Agnes Moorehead;Drama|Family|Musical|Romance;gambling|love
2982;Show Me;2004;6.0;97;Cassandra Nicolaou;Katharine Isabelle;Drama|Thriller;bathtub|lesbian|tied to a chair
2983;Showdown in Little Tokyo;1991;6.0;79;Mark L. Lester;Cary-Hiroyuki Tagawa;Action|Comedy|Crime|Thriller;bare chested male|detective
2984;Showgirls;1995;4.6;131;Paul Verhoeven;Bobbie Phillips;Drama;cult film|stripper
2985;Shrek 2;2004;7.2;93;Andrew Adamson;Rupert Everett;Adventure|Animation|Comedy|Family|Fantasy|Romance;princess|queen|sequel
2986;Shrek Forever After;2010;6.4;93;Mike Mitchell;Jon Hamm;Adventure|Animation|Comedy|Family|Fantasy;female warrior
2987;Shrek the Third;2007;6.1;93;Chris Miller;Justin Timberlake;Adventure|Animation|Comedy|Family|Fantasy;fairy tale|prince|princess
2988;Shrek;2001;7.9;90;Andrew Adamson;Kathleen Freeman;Adventure|Animation|Comedy|Family|Fantasy;fairy tale|princess
2989;Shutter Island;2010;8.1;138;Martin Scorsese;Leonardo DiCaprio;Mystery|Thriller;plot twist|surprise ending
2990;Shutter;2008;5.2;90;Masayuki Ochiai;James Kyson;Horror|Mystery|Thriller;car accident|japan|photograph|photographer
2991;Sicario;2015;7.6;121;Denis Villeneuve;Edgar Arreola;Action|Crime|Drama|Mystery|Thriller;critically acclaimed|drug cartel
2992;Sicko;2007;8.0;123;Michael Moore;Michael Moore;Documentary|Drama;cuba|france
2993;Side Effects;2013;7.1;106;Steven Soderbergh;Channing Tatum;Crime|Drama|Thriller;female protagonist|psychiatrist
2994;Sideways;2004;7.5;126;Alexander Payne;Virginia Madsen;Adventure|Comedy|Drama|Romance;actor|california|teacher|writer
2995;Signed Sealed Delivered;2013;7.7;87;Scott Smith;Eric Mabius;Comedy|Drama;fraud|prison|theft|trial
2996;Signs;2002;6.7;106;M. Night Shyamalan;Rory Culkin;Drama|Sci-Fi|Thriller;faith|farm
2997;Silent Hill: Revelation 3D;2012;5.0;95;Michael J. Bassett;Radha Mitchell;Adventure|Drama|Horror|Mystery|Thriller;nightmare|on the run
2998;Silent Hill;2006;6.6;132;Christophe Gans;Radha Mitchell;Adventure|Horror|Mystery;gothic|police|police officer
2999;Silent House;2011;5.3;86;Chris Kentis;Eric Sheffer Stevens;Drama|Horror|Mystery|Thriller;girl|haunted house
3000;Silent Movie;1976;6.7;87;Mel Brooks;Sid Caesar;Comedy|Romance;black comedy|friend|two word title
3001;Silent Running;1972;6.7;89;Douglas Trumbull;Bruce Dern;Drama|Sci-Fi;forest|robot|space
3002;Silent Trigger;1996;5.6;88;Russell Mulcahy;Christopher Heyerdahl;Action|Drama|Thriller;assassin|die hard scenario|soldier|veteran
3003;Silmido;2003;7.2;135;Woo-Suk Kang;Yu-mi Jeong;Action|Drama;based on true story|rape|title spoken by character
3004;Silver Linings Playbook;2012;7.8;122;David O. Russell;Jennifer Lawrence;Comedy|Drama|Romance;widow
3005;Silver Medallist;2009;7.4;99;Hao Ning;Jack Kao;Action|Adventure|Comedy;color in title
3006;Silverado;1985;7.2;133;Lawrence Kasdan;Scott Glenn;Action|Crime|Drama|Western;kiss|small town
3007;Simon Birch;1998;6.9;114;Mark Steven Johnson;Oliver Platt;Comedy|Drama|Family;boy|christmas|friendship
3008;Simply Irresistible;1999;5.3;96;Mark Tarlov;Sarah Michelle Gellar;Comedy|Drama|Fantasy|Romance;chef|love|magic|restaurant
3009;Sin City: A Dame to Kill For;2014;6.5;102;Frank Miller;Joseph Gordon-Levitt;Action|Crime|Thriller;box office flop|female frontal nudity|female rear nudity|rescue
3010;Sin City;2005;8.1;147;Frank Miller;Rosario Dawson;Crime|Thriller;anthology|corruption|neo noir|night
3011;Sinbad: Legend of the Seven Seas;2003;6.7;85;Patrick Gilmore;Brad Pitt;Adventure|Animation|Comedy|Drama|Family|Fantasy|Romance;book|prince
3012;Singin' in the Rain;1952;8.3;103;Stanley Donen;Rita Moreno;Comedy|Musical|Romance;actress|fan|friend|love
3013;Sinister 2;2015;5.2;97;Ciarán Foy;Laila Haley;Horror|Mystery|Thriller;deputy|nightmare
3014;Sinister;2012;6.8;110;Scott Derrickson;Danielle Kotch;Horror|Mystery;book|found footage|research|writer
3015;Six Days Seven Nights;1998;5.7;98;Ivan Reitman;Harrison Ford;Action|Adventure|Comedy|Romance;airplane|island|pilot|storm
3016;Six-String Samurai;1998;6.7;91;Lance Mungia;Jeffrey Falcon;Action|Adventure|Comedy|Drama|Music|Sci-Fi;boy|guitar|orphan|sword
3017;Skin Trade;2014;5.7;96;Ekachai Uekrongtham;Michael Jai White;Action|Crime|Thriller;detective|revenge
3018;Sky Captain and the World of Tomorrow;2004;6.1;106;Kerry Conran;Angelina Jolie Pitt;Action|Adventure|Mystery|Sci-Fi|Thriller;captain|pilot|reporter|robot|scientist
3019;Sky High;2005;6.2;100;Mike Mitchell;Michael Angarano;Adventure|Comedy|Family|Sci-Fi;coming of age|friend|high school
3020;Skyfall;2012;7.8;143;Sam Mendes;Albert Finney;Action|Adventure|Thriller;
3021;Skyline;2010;4.4;97;Colin Strause;David Zayas;Action|Sci-Fi|Thriller;apartment|group of friends
3022;Slacker Uprising;2007;5.3;102;Michael Moore;Michael Moore;Documentary;character name in title
3023;Slackers;2002;5.3;86;Dewey Nicks;Jaime King;Comedy|Romance;blackmail|love|nerd|scam
3024;Slacker;1991;7.1;100;Richard Linklater;Tommy Pallotta;Comedy|Drama;moon|texas
3025;Slam;1998;7.2;100;Marc Levin;Sonja Sohn;Drama;gang|independent film|prison|urban setting
3026;Sleep Dealer;2008;5.9;90;Alex Rivera;Leonor Varela;Drama|Romance|Sci-Fi|Thriller;computer|future|wilhelm scream
3027;Sleep Tight;2011;7.2;102;Jaume Balagueró;Luis Tosar;Drama|Horror|Thriller;apartment|girl|hitchcockian
3028;Sleepers;1996;7.5;147;Barry Levinson;Robert De Niro;Crime|Drama|Thriller;boy|guard
3029;Sleeper;1973;7.3;89;Woody Allen;Woody Allen;Comedy|Sci-Fi;future|police
3030;Sleepover;2004;5.3;89;Joe Nussbaum;Steve Carell;Comedy|Romance;best friend|party|rival
3031;Sliding Doors;1998;6.8;99;Peter Howitt;Jeanne Tripplehorn;Comedy|Drama|Fantasy|Romance;
3032;Sling Blade;1996;8.0;148;Billy Bob Thornton;Robert Duvall;Drama;friend|mental institution|murder|small town
3033;Slither;2006;6.5;95;James Gunn;Dustin Milligan;Comedy|Horror|Sci-Fi;alien|sex|small town
3034;Slow Burn;2005;5.9;93;Wayne Beach;Mekhi Phifer;Drama|Mystery|Thriller;interview|murder|reporter
3035;Slow West;2015;6.9;84;John Maclean;Michael Fassbender;Western;bounty hunter|outlaw
3036;Slumdog Millionaire;2008;8.0;120;Danny Boyle;Anil Kapoor;Drama|Romance;murder|slum
3037;Slums of Beverly Hills;1998;6.6;91;Tamara Jenkins;Natasha Lyonne;Comedy|Drama;title directed by female
3038;Small Apartments;2012;6.1;96;Jonas Åkerlund;Noel Gugliemi;Comedy|Crime|Drama;suicide
3039;Small Soldiers;1998;6.1;108;Joe Dante;Kirsten Dunst;Action|Adventure|Comedy|Family|Sci-Fi;battle|computer|military|toy
3040;Small Time Crooks;2000;6.7;94;Woody Allen;Woody Allen;Comedy|Crime;new york city|three word title|written and directed by cast member
3041;Smiling Fish & Goat on Fire;1999;7.6;90;Kevin Jordan;Derick Martini;Comedy|Romance;accountant|actor|animal in title
3042;Smilla's Sense of Snow;1997;6.4;121;Bille August;Jim Broadbent;Action|Drama|Sci-Fi|Thriller;boy|neighbor|snow
3043;Smoke Signals;1998;7.2;89;Chris Eyre;Michael Greyeyes;Comedy|Drama;fire|loss of father
3044;Smokin' Aces;2006;6.7;109;Joe Carnahan;Ryan Reynolds;Action|Crime|Drama|Thriller;casino|fbi|mafia|sniper
3045;Snake Eyes;1998;5.9;98;Brian De Palma;Nicolas Cage;Crime|Mystery|Thriller;assassination|boxing|casino|conspiracy|long take
3046;Snakes on a Plane;2006;5.6;105;David R. Ellis;Lin Shaye;Action|Adventure|Crime|Drama|Thriller;murder|passenger|snake
3047;Snatch;2000;8.3;104;Guy Ritchie;Jason Statham;Comedy|Crime;boxer|boxing|diamond|fight
3048;Snitch;2013;6.5;112;Ric Roman Waugh;Dwayne Johnson;Action|Drama|Thriller;cigarette smoking|dea|drugs|undercover
3049;Snow Angels;2007;6.9;107;David Gordon Green;Michael Angarano;Drama|Romance;flashback|school|small town|snow
3050;Snow Day;2000;4.9;89;Chris Koch;Chris Elliott;Adventure|Comedy|Family;snow
3051;Snow Dogs;2002;5.1;99;Brian Levant;James Coburn;Adventure|Comedy|Family|Sport;dentist|dog|inheritance|race
3052;Snow Falling on Cedars;1999;6.8;127;Scott Hicks;Rick Yune;Drama|Mystery|Romance|Thriller;japanese|love|trial
3053;Snow Flower and the Secret Fan;2011;6.1;104;Wayne Wang;Bingbing Li;Drama|History;china|fan
3054;Snow Queen;2012;5.3;80;Vladlen Barbe;Erin Fitzgerald;Adventure|Animation|Family;
3055;Snow White and the Huntsman;2012;6.1;132;Rupert Sanders;Chris Hemsworth;Action|Adventure|Drama|Fantasy;fairy tale|magic|queen
3056;Snow White and the Seven Dwarfs;1937;7.7;83;William Cottrell;Adriana Caselotti;Animation|Family|Fantasy|Musical;dwarf|love|princess|queen
3057;Snow White: A Deadly Summer;2012;2.2;83;David DeCoteau;Maureen McCormick;Horror;
3058;Snow White: A Tale of Terror;1997;6.3;100;Michael Cohn;David Conrad;Fantasy|Horror;miner|mirror|woods
3059;Snowpiercer;2013;7.0;126;Joon-ho Bong;Chris Evans;Action|Drama|Sci-Fi|Thriller;train
3060;Solaris;1972;8.1;115;Andrei Tarkovsky;Donatas Banionis;Drama|Mystery|Sci-Fi;hallucination|ocean|psychologist|scientist
3061;Soldier;1998;6.0;99;Paul W.S. Anderson;Connie Nielsen;Action|Drama|Sci-Fi;planet|sergeant|soldier|survivor
3062;Solitary Man;2009;6.4;90;Brian Koppelman;Jenna Fischer;Comedy|Drama|Romance;aging|love|marriage
3063;Solomon and Sheba;1959;6.2;141;King Vidor;Gina Lollobrigida;Drama|History|Romance|War;king|queen|tribe
3064;Some Like It Hot;1959;8.3;120;Billy Wilder;Nehemiah Persoff;Comedy|Music|Romance;band|musician
3065;Someone Like You...;2001;6.1;97;Tony Goldwyn;Hugh Jackman;Comedy|Romance;apartment|girl in panties|roommate|upskirt
3066;Something Borrowed;2011;5.9;112;Luke Greenfield;Ashley Williams;Comedy|Drama|Romance;best friend|lawyer
3067;Something Wicked;2014;4.8;95;Darin Scott;Julian Morris;Drama|Horror|Mystery|Thriller;independent film|obsession
3068;Something's Gotta Give;2003;6.7;128;Nancy Meyers;Keanu Reeves;Comedy|Drama|Romance;beach|dating|doctor|heart attack|weekend
3069;Somewhere in Time;1980;7.3;103;Jeannot Szwarc;Teresa Wright;Drama|Fantasy|Romance;hotel|love|time travel|time travel romance
3070;Somewhere;2010;6.3;97;Sofia Coppola;Nathalie Fay;Comedy|Drama;actor|party
3071;Son of God;2014;5.6;170;Christopher Spencer;Roma Downey;Biography|Drama|History;bare chested male bondage
3072;Son of the Mask;2005;2.2;94;Lawrence Guterman;Jamie Kennedy;Comedy|Family|Fantasy;baby|cartoon on tv|dog|mask
3073;Song One;2014;5.8;86;Kate Barker-Froyland;Anne Hathaway;Drama|Music;musician|number in title
3074;Songcatcher;2000;7.3;109;Maggie Greenwald;Aidan Quinn;Drama|Music;doctor|mountain|musician|song|university
3075;Sorcerer;1977;7.7;92;William Friedkin;Roy Scheider;Adventure|Drama|Thriller;fire|jungle|money|truck
3076;Sorority Boys;2002;5.4;93;Wallace Wolodarsky;Heather Matarazzo;Comedy;college|sorority
3077;Sorority Row;2009;5.1;101;Stewart Hendler;Julian Morris;Horror|Mystery;shotgun
3078;Soul Food;1997;6.9;115;George Tillman Jr.;Vanessa Williams;Comedy|Drama;1990s|family relationships|sister
3079;Soul Kitchen;2009;7.3;99;Fatih Akin;Udo Kier;Comedy|Drama;2000s|chef|cook|restaurant
3080;Soul Men;2008;6.5;100;Malcolm D. Lee;Bernie Mac;Comedy|Drama|Music;band|masturbation|reunion|singer
3081;Soul Plane;2004;4.4;92;Jessy Terrero;Mo'Nique;Comedy;airplane|sex
3082;Soul Surfer;2011;7.1;106;Sean McNamara;Dennis Quaid;Biography|Drama|Family|Sport;christian|christian film|shark|surfer|surfing
3083;Soul Survivors;2001;3.9;84;Stephen Carpenter;Melissa Sagemiller;Drama|Horror|Mystery|Thriller;car accident|college|ghost|girl in panties|white panties
3084;Sound of My Voice;2011;6.7;85;Zal Batmanglij;Christopher Denham;Drama|Mystery|Sci-Fi|Thriller;cult|female nudity
3085;Source Code;2011;7.5;93;Duncan Jones;Jake Gyllenhaal;Mystery|Sci-Fi|Thriller;time|time loop|train
3086;South Park: Bigger Longer & Uncut;1999;7.8;81;Trey Parker;Minnie Driver;Animation|Comedy|Fantasy|Musical;boy|hell|misunderstanding
3087;Southland Tales;2006;5.5;160;Richard Kelly;Janeane Garofalo;Comedy|Mystery|Sci-Fi|Thriller;amnesia|boxer|conspiracy|police
3088;Southpaw;2015;7.5;124;Antoine Fuqua;Jake Gyllenhaal;Drama|Sport;boxer
3089;Space Battleship Yamato;2010;6.1;138;Takashi Yamazaki;Takuya Kimura;Action|Adventure|Drama|Sci-Fi;alien
3090;Space Chimps;2008;4.5;81;Kirk De Micco;Cheryl Hines;Adventure|Animation|Comedy|Family|Sci-Fi;astronaut|planet|senator|space travel
3091;Space Cowboys;2000;6.4;130;Clint Eastwood;Clint Eastwood;Action|Adventure|Thriller;nasa|satellite|space
3092;Space Dogs;2010;5.2;85;Inna Evlannikova;Sergey Garmash;Adventure|Animation|Comedy|Family;dog|space
3093;Space Jam;1996;6.3;88;Joe Pytka;Bill Murray;Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi|Sport;alien|basketball|cult film
3094;Spaceballs;1987;7.1;96;Mel Brooks;Joan Rivers;Adventure|Comedy|Sci-Fi;parody
3095;Spaced Invaders;1990;5.3;100;Patrick Read Johnson;Ariana Richards;Adventure|Comedy|Sci-Fi;alien|halloween|outer space
3096;Spanglish;2004;6.5;131;James L. Brooks;Adam Sandler;Comedy|Drama|Romance;chef|college|housekeeper|letter|mexico
3097;Sparkler;1997;5.6;90;Darren Stein;Frances Bay;Comedy|Drama;psychic
3098;Sparkle;2012;5.7;116;Salim Akil;Omari Hardwick;Drama|Music;1960s|death|nightclub|sister
3099;Spawn;1997;5.2;98;Mark A.Z. Dippé;Michael Jai White;Action|Horror;based on comic book|superhero
3100;Special;2006;6.9;81;Hal Haberman;Michael Rapaport;Comedy|Drama|Sci-Fi;dream sequence|superhero
3101;Species;1995;5.8;108;Roger Donaldson;Natasha Henstridge;Action|Horror|Sci-Fi|Thriller;alien|scientist|train
3102;Spectre;2015;6.8;148;Sam Mendes;Christoph Waltz;Action|Adventure|Thriller;bomb|espionage|sequel|spy|terrorist
3103;Speed 2: Cruise Control;1997;3.7;121;Jan de Bont;Jason Patric;Action|Crime|Romance|Thriller;computer
3104;Speed Racer;2008;6.1;135;Lana Wachowski;Scott Porter;Action|Family|Sport;
3105;Speedway Junky;1999;5.2;105;Nickolas Perry;Patrick Renna;Crime|Drama|Romance;hustler|scam|watching television
3106;Speed;1994;7.2;116;Jan de Bont;Keanu Reeves;Action|Adventure|Crime|Thriller;bomb|bus|elevator|rescue
3107;Spellbound;1945;7.6;95;Alfred Hitchcock;Norman Lloyd;Film-Noir|Mystery|Romance|Thriller;amnesia|dream sequence
3108;Sphere;1998;6.0;134;Barry Levinson;Peter Coyote;Drama|Mystery|Sci-Fi|Thriller;ocean|spacecraft|spaceship
3109;Sphinx;1981;5.2;118;Franklin J. Schaffner;Frank Langella;Adventure|Mystery|Thriller;curse|murder
3110;Spice World;1997;3.3;93;Bob Spiers;Jason Flemyng;Comedy|Family|Music;bus|concert
3111;Spider-Man 2;2004;7.3;135;Sam Raimi;J.K. Simmons;Action|Adventure|Fantasy|Romance;death|doctor|scientist
3112;Spider-Man 3;2007;6.2;156;Sam Raimi;J.K. Simmons;Action|Adventure|Romance;villain
3113;Spider-Man;2002;7.3;121;Sam Raimi;J.K. Simmons;Action|Adventure|Fantasy|Romance;evil|spider|superhero
3114;Spider;2002;6.8;98;David Cronenberg;Miranda Richardson;Drama|Mystery|Thriller;key|reality|spider
3115;Spirit: Stallion of the Cimarron;2002;7.0;83;Kelly Asbury;Matt Damon;Adventure|Animation|Family|Western;escape
3116;Spirited Away;2001;8.6;125;Hayao Miyazaki;Bunta Sugawara;Adventure|Animation|Family|Fantasy;pig|spirit
3117;Splash;1984;6.2;111;Ron Howard;Tom Hanks;Comedy|Fantasy|Romance;new york city|public nudity
3118;Splice;2009;5.8;104;Vincenzo Natali;Sarah Polley;Drama|Horror|Sci-Fi;experiment|scientist
3119;Split Second;1992;6.2;96;Tony Maylam;Michael J. Pollard;Action|Crime|Horror|Sci-Fi|Thriller;breasts|creature|partner|water
3120;Spotlight;2015;8.1;128;Tom McCarthy;Billy Crudup;Biography|Crime|Drama|History;cover up|investigation|journalist|newspaper
3121;Spring Breakers;2012;5.3;94;Harmony Korine;James Franco;Crime|Drama;spring break|twins
3122;Spun;2002;6.8;106;Jonas Åkerlund;Patrick Fugit;Comedy|Crime|Drama;male nudity|nudity
3123;Spy Game;2001;7.0;114;Tony Scott;Brad Pitt;Action|Crime|Thriller;china|cia|friendship|retirement
3124;Spy Hard;1996;5.3;81;Rick Friedberg;Hulk Hogan;Action|Comedy;1990s|dentist|martial arts|museum
3125;Spy Kids 2: Island of Lost Dreams;2002;5.1;100;Robert Rodriguez;Steve Buscemi;Action|Adventure|Comedy|Family|Sci-Fi;island|scientist|sequel|spy
3126;Spy Kids 3-D: Game Over;2003;4.1;84;Robert Rodriguez;Sylvester Stallone;Action|Adventure|Comedy|Family|Sci-Fi;mission|spy|surfing|trapped|virtual reality
3127;Spy Kids: All the Time in the World in 4D;2011;3.6;89;Robert Rodriguez;Alexa PenaVega;Action|Adventure|Comedy|Family|Sci-Fi;3 dimensional|spy
3128;Spy Kids;2001;5.4;88;Robert Rodriguez;Alexa PenaVega;Action|Adventure|Comedy|Family|Sci-Fi;brother sister relationship|espionage|rescue|secret agent|spy
3129;St. Trinian's;2007;5.8;100;Oliver Parker;Lily Cole;Comedy;2000s|female protagonist|school
3130;St. Vincent;2014;7.3;102;Theodore Melfi;Bill Murray;Comedy|Drama;
3131;Stake Land;2010;6.5;98;Jim Mickle;Connor Paolo;Drama|Horror|Sci-Fi;post apocalypse|road movie|vampire|vampire hunter
3132;Stan Helsing;2009;3.6;90;Bo Zenga;Steve Howey;Comedy|Horror;halloween
3133;Stand by Me;1986;8.1;89;Rob Reiner;Marshall Bell;Adventure|Drama;friendship|woods
3134;Standard Operating Procedure;2008;7.5;118;Errol Morris;Jeffrey Frost;Crime|Documentary|War;abuse|prison|torture
3135;Standing Ovation;2010;3.4;105;Stewart Raffill;Kayla Jackson;Musical;dance|dream|snake
3136;Star Trek Beyond;2016;7.5;122;Justin Lin;Sofia Boutella;Action|Adventure|Sci-Fi|Thriller;sequel|space opera
3137;Star Trek II: The Wrath of Khan;1982;7.7;116;Nicholas Meyer;Leonard Nimoy;Action|Adventure|Sci-Fi;planet|trap
3138;Star Trek III: The Search for Spock;1984;6.6;105;Leonard Nimoy;Leonard Nimoy;Action|Adventure|Sci-Fi;planet
3139;Star Trek IV: The Voyage Home;1986;7.3;119;Leonard Nimoy;Leonard Nimoy;Adventure|Comedy|Sci-Fi;time travel|whale
3140;Star Trek Into Darkness;2013;7.8;132;J.J. Abrams;Benedict Cumberbatch;Action|Adventure|Sci-Fi;captain|mission|space
3141;Star Trek V: The Final Frontier;1989;5.4;107;William Shatner;Leonard Nimoy;Action|Adventure|Sci-Fi|Thriller;captain|planet
3142;Star Trek VI: The Undiscovered Country;1991;7.2;110;Nicholas Meyer;Leonard Nimoy;Action|Adventure|Sci-Fi|Thriller;captain|explosion|moon
3143;Star Trek: First Contact;1996;7.6;111;Jonathan Frakes;LeVar Burton;Action|Adventure|Drama|Sci-Fi|Thriller;captain
3144;Star Trek: Generations;1994;6.6;118;David Carson;LeVar Burton;Action|Adventure|Mystery|Sci-Fi|Thriller;bare chested male bondage|rescue
3145;Star Trek: Insurrection;1998;6.4;103;Jonathan Frakes;LeVar Burton;Action|Adventure|Sci-Fi|Thriller;alien|captain|conspiracy|planet
3146;Star Trek: Nemesis;2002;6.4;116;Stuart Baird;Tom Hardy;Action|Adventure|Sci-Fi|Thriller;earth|slave|space
3147;Star Trek: The Motion Picture;1979;6.4;143;Robert Wise;Leonard Nimoy;Adventure|Mystery|Sci-Fi;alien|space|spacecraft
3148;Star Trek;2009;8.0;127;J.J. Abrams;Chris Hemsworth;Action|Adventure|Sci-Fi;box office hit|future
3149;Star Wars: Episode I - The Phantom Menace;1999;6.5;136;George Lucas;Natalie Portman;Action|Adventure|Fantasy|Sci-Fi;alien|hand to hand combat|wilhelm scream
3150;Star Wars: Episode II - Attack of the Clones;2002;6.7;142;George Lucas;Natalie Portman;Action|Adventure|Fantasy|Sci-Fi;martial arts
3151;Star Wars: Episode III - Revenge of the Sith;2005;7.6;140;George Lucas;Natalie Portman;Action|Adventure|Fantasy|Sci-Fi;
3152;Star Wars: Episode IV - A New Hope;1977;8.7;125;George Lucas;Harrison Ford;Action|Adventure|Fantasy|Sci-Fi;princess|rebellion
3153;Star Wars: Episode V - The Empire Strikes Back;1980;8.8;127;Irvin Kershner;Harrison Ford;Action|Adventure|Fantasy|Sci-Fi;duel|rebel|rescue
3154;Star Wars: Episode VI - Return of the Jedi;1983;8.4;134;Richard Marquand;Harrison Ford;Action|Adventure|Fantasy|Sci-Fi;emperor|princess|rebel
3155;Stardust;2007;7.7;127;Matthew Vaughn;Henry Cavill;Adventure|Family|Fantasy|Romance;king|magic|one word title|pirate|village
3156;Stargate: The Ark of Truth;2008;7.4;97;Robert C. Cooper;Ben Browder;Action|Adventure|Drama|Fantasy|Sci-Fi;2000s|space opera
3157;Starship Troopers;1997;7.2;129;Paul Verhoeven;Jake Busey;Action|Sci-Fi|War;alien|future|military|planet
3158;Starsky & Hutch;2004;6.1;101;Todd Phillips;Snoop Dogg;Comedy|Crime;cocaine|criminal|partner|police
3159;Starsuckers;2009;7.4;103;Chris Atkins;Richard Curtis;Documentary;celebrity|fashion
3160;State Fair;1945;7.1;100;Walter Lang;Dana Andrews;Musical|Romance;farm|iowa|newspaper
